"candidat","depensestotales","recettestotales","dons","appartspartis","concoursnature","autres","perso","soldescompte","DEV","RFE","DECCNCCFP"
"M. CARVOU Serge","0","0","0","0","0","0","0","0","0","0","A"
"M. CHEVAL Joël","31 509
31 078","31 700
31 269","0
0","0
0","0
0","0
0","31 700
31 269","191
191","0","31 078","AR"
"M. CORNILLET Thierry","29 200
29 094","29 200
29 094","100
100","0
0","0
0","0
0","29 100
28 994","0
0","0","28 994","AR"
"Mme HENNION Dominique","391","391","0","341","50","0","0","0","0","0","A"
"Mlle KOPFF Adèle","340","432","0","419","13","0","0","92","92","0","A"
"Mme MARCHADIER Clotilde","0","0","0","0","0","0","0","0","0","0","A"
"Mme MOUNIB Raphaële","165","165","150","15","0","0","0","0","0","0","A"
"Mme REME PIC Anne marie","21 889
21 047","21 889
21 047","2 250
2 250","900
900","0
0","0
0","18 739
17 897","0
0","0","17 897","AR"
"M. REYNIER Franck","53 821
52 834","55 047
54 060","16 295
16 295","11 700
11 700","0
0","0
0","27 052
26 065","1 226
1 226","0","24 839","AR"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"149"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Drôme - 3</i>","<i>Département : Drôme </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 65 096","€",,,,,,,,,,
"Remboursement maximum : 32 549",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BERRARD Philippe","12 198","12 198","0","0","0","0","12 198","0","0","12 198","A"
"M. GAGNIER Gérard","15","80","65","15","0","0","0","65","65","0","A"
"M. GREGOIRE Michel","37 925
36 121
35 431","38 104
36 300","11 540
11 540","900
900","0
0","0
0","25 664
23 860
23 860","179
179","0","22 991","AR"
"M. GUILLO Kelly eric",,,,,,,,,"0","0","AD"
"M. MARITON Hervé","56 262
55 891","56 262
55 891","18 972
18 972","14 256
14 256","15 699
15 699","0
0","7 335
6 964","0
0","0","6 964","AR"
"M. MOTTET Joël","1 459","1 700","80","120","0","0","1 500","241","0","0","A"
"M. PEGON François","20 660
20 200","20 660
20 200","660
660","0
0","0
0","0
0","20 000
19 540","0
0","0","19 540","AR"
"M. PELISSIER Daniel","27 721","27 800","0","0","0","0","27 800","79","0","0","A"
"M. PIOT Michel","369","426","0","420","6","0","0","57","57","0","A"
"Mme REGUE Catherine","0","0","0","0","0","0","0","0","0","0","A"
"Mme SIMON Laurence",,,,,,,,,"0","0","AD"
"M. TANNIOU Gérald","0","0","0","0","0","0","0","0","0","0","A"
"Mme THIVEL Marie-Antoinette","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"150","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Drôme - 4</i>","<i>Département : Drôme </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 64 748","€",,,,,,,,,,
"Remboursement maximum : 32 374",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. ABEL Jean-David","703","703","0","301","402","0","0","0","0","0","A"
"M. BIANCHERI Gabriel","34 081
32 182","34 081
32 182","300
300","12 700
12 700","800
700","0
0","20 281
18 482","0
0","0","18 482","AR"
"Mme CARUSO Françoise","0","0","0","0","0","0","0","0","0","0","A"
"Mme COUTARD Catherine","39 667","39 667","6 245","800","0","0","32 622","0","0","32 374","A"
"M. DURAND Jean-Marc","3 050","3 060","0","1 560","0","0","1 500","10","0","0","A"
"M. ESTIVANT Claude","0","0","0","0","0","0","0","0","0","0","A"
"M. LABADENS Philippe","536","550","550","0","0","0","0","14","14","0","A"
"M. ORIOL Gérard","11 920
11 771","11 920
11 771","80
80","0
0","0
0","0
0","11 840
11 691","0
0","0","11 691","AR"
"M. PINET Bernard","32 262","32 350","0","0","0","0","32 350","88","0","32 262","A"
"Mme SEEMANN Marie-Christine","359","426","0","418","8","0","0","67","57","0","A"
"M. VITTON MEA Yannick","403","475","310","15","0","0","150","72","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"151"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Eure - 1</i>","<i>Département : Eure </i>",,"<i>er</i>",,,,,
"Plafond de dépenses : 65 754","€",,,,,,,,,,
"Remboursement maximum : 32 878",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme CANIVENC Pascale","0","0","0","0","0","0","0","0","0","0","A"
"Mme DARRY Monique","0","0","0","0","0","0","0","0","0","0","A"
"Mme FIHEY Jacqueline","240","240","0","222","0","0","18","0","0","0","A"
"M. GONTIER Yoann","0","0","0","0","0","0","0","0","0","0","A"
"M. HERVIEU Joël","32 379","32 379","0","0","0","0","32 379","0","0","32 359","A"
"Mme HURDEBOURCQ Cathy","0","0","0","0","0","0","0","0","0","0","A"
"M. LE MAIRE Bruno","55 501
54 112","55 501
54 112","42 640
42 640","8 000
8 000","0
0","0
0","4 861
3 472","0
0","0","3 472","AR"
"Mme MANSOURET Anne","34 947
32 162","35 085
32 300","300
300","0
0","0
0","0
0","34 785
32 000","138
138","0","31 862","AR"
"Mme MASNE Madeleine","23 500
23 358","23 500
23 358","0
0","0
0","0
0","0
0","23 500
23 358","0
0","0","0","AR"
"Mme OGER Andrée","7 877
7 725","7 907
7 755","190
190","0
0","0
0","0
0","7 717
7 565","30
30","0","7 535","AR"
"Mme ORDONEZ Marie-France","365","365","0","15","0","0","350","0","0","0","A"
"M. PETIET Louis","47 621","47 621","0","0","0","0","47 621","0","0","0","R"
"M. QUIRINS Jacques","0","0","0","0","0","0","0","0","0","0","A"
"152","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M m e   R O E T H L I S B E R G E R",,,,,,,,,,,
"Corinne","270","270","0","256","14","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"153"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Eure - 2</i>","<i>Département : Eure </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 62 107","€",,,,,,,,,,
"Remboursement maximum : 31 054",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BEURIOT Valéry","2 509","2 509","0","2 494","0","0","15","0","0","0","A"
"M. BIGAUD Sylvain","39","39","0","39","0","0","0","0","0","0","A"
"M. CAMOIN Emmanuel","21 592","21 592","0","20 100","0","0","1 492","0","0","0","A"
"M. DUPONT Yves","0","0","0","0","0","0","0","0","0","0","A"
"Mme GERBE Corinne","0","0","0","0","0","0","0","0","0","0","A"
"M. GUITTON Denis","21 802
21 116","21 802
21 116","0
0","0
0","0
0","0
0","21 802
21 116","0
0","0","21 116","AR"
"M. LELOUTRE Jean-Perre","0","0","0","0","0","0","0","0","0","0","A"
"Mlle LEWI Rosine","373","373","0","331","42","0","0","0","0","0","A"
"M. MATHIERE Philippe","0","0","0","0","0","0","0","0","0","0","A"
"M. NICOLAS Jean-Pierre","32 894
31 199","32 894
32 667","8 725
8 725","18 532
18 532","5 410
5 410","0
0","227
0","0
1 468","1 468","0","AR"
"Mme OZANNE Sophie","267","267","0","15","0","0","252","0","0","0","A"
"M. PASADOVIC Sébastien","79","79","79","0","0","0","0","0","0","0","A"
"M. RECOURS Alfred","28 890
27 864","28 890
27 864","420
420","1 100
1 100","300
300","0
0","27 070
26 044","0
0","0","26 044","AR"
"Mme VOLLAIS Corinne","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"154","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DU 10 JUIN 2007",,"<i>Circoncription : Eure - 3</i>","<i>Département : Eure </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 62 030","€",,,,,,,,,,
"Remboursement maximum : 31 016",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mlle BLAMPIED Carole","0","0","0","0","0","0","0","0","0","0","A"
"M. BRANCHU Robin","0","0","0","0","0","0","0","0","0","0","A"
"Mme CARVALHO Christiane","0","0","0","0","0","0","0","0","0","0","A"
"M. COUREL Francis","12 968","12 968","250","0","635","0","12 083","0","0","12 083","A
*"
"M. LE TANNEUR Marc","5 148","5 200","0","200","0","0","5 000","52","0","0","A"
"M. LOUVION Régis","39","39","0","39","0","0","0","0","0","0","A"
"M. MARTIN Thierry","246","246","0","15","0","0","231","0","0","0","A"
"Mme MORIN Corinne","1 257","1 257","0","1 257","0","0","0","0","0","0","A"
"M. MORIN Hervé","46 475","46 475","13 050","0","132","0","33 293","0","0","31 015","A"
"M. PICHON Philippe","335","335","0","321","14","0","0","0","0","0","A"
"Mlle POIRIER Christelle","0","0","0","0","0","0","0","0","0","0","A"
"M. RAVIART Philippe","10 450","10 450","0","0","0","0","10 450","0","0","10 450","A"
"M. REP Charles","0","0","0","0","0","0","0","0","0","0","A"
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"155"
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme ZANON Nathalie","12 215
12 133","12 215
12 133","0
0","900
900","240
240","0
0","11 075
10 993","0
0","0","10 993","AR"
"(*) Décisions tenant compte des modifications apportées à la décision initiale à la suite d’un recours gracieux.",,,,,,,,,,,
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"156","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Eure - 4</i>","<i>Département : Eure </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 64 949","€",,,,,,,,,,
"Remboursement maximum : 32 475",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme BARLOY Chantal","0","0","0","0","0","0","0","0","0","0","A"
"M. BAZIRE Gaëtan","0","0","0","0","0","0","0","0","0","0","A"
"M. BOURLET DE LA VALLEE",,,,,,,,,,,
"Jérôme","56","56","0","39","0","0","17","0","0","0","A"
"M. FRAU Bernard","0","0","0","0","0","0","0","0","0","0","A"
"M. JOLY Vincent","0","0","0","0","0","0","0","0","0","0","A"
"Mme LEMOINE Gisèle","0","0","0","0","0","0","0","0","0","0","A"
"M. LEROY Bernard","29 150
28 441","29 150
28 441","4 845
4 845","0
0","0
0","0
0","24 305
23 596","0
0","0","23 596","AR"
"Mme LETELLIER Isabelle","0","0","0","0","0","0","0","0","0","0","A"
"M. LEVITRE Gaëtan","4 483","4 483","3 822","120","0","0","541","0","0","0","A"
"M. LONCLE François","49 585","49 585","2 940","0","17 733","0","28 912","0","0","28 912","A"
"M. MARTIN Franck","34 764
34 318","34 764
34 318","2 070
2 070","15 127
15 127","3 566
3 566","0
0","14 001
13 555","0
0","0","0","AR"
"Mme MIQUEL Françoise","37 493
37 472","42 218
42 197","0
0","9 700
9 700","518
518","0
0","32 000
31 979","4 725
4 725","0","27 254","AR"
"M. PREVOST Gérard","577","577","0","15","0","0","562","0","0","0","A"
"Mme RICHETON Sonia","22 483
20 952","22 600
21 069","0
0","200
20 869","0
0","0
0","22 400
200","117
117","0","0","AR"
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"157"
".",,,,,,,,,,,
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. SOLAL Christophe","323","323","0","309","14","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"158","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Circoncription : Eure - 5</i>","<i>Département : Eure </i>",,"<i>e</i>",,,,,
"Plafond de dépenses : 65 126","€",,,,,,,,,,
"Remboursement maximum : 32 563",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. BOURGEOIS Claude","331","331","0","15","0","0","316","0","0","0","A"
"Mme CAUCHOIX Nelly","0","0","0","0","0","0","0","0","0","0","HD"
"Mme FONTAINE Joëlle","0","0","0","0","0","0","0","0","0","0","A"
"Mme GIBERT Catherine","0","0","0","0","0","0","0","0","0","0","A"
"M. GILARD Franck","29 353","31 448","15 787","9 700","5 922","0","39","2 095","2 056","0","A"
"Mme JULLIEN MITSIENO Véro-",,,,,,,,,,,
"nique","39","39","0","39","0","0","0","0","0","0","A"
"M. LANGLOIS Franck","9 998
9 526","9 998
9 526","0
0","0
0","0
0","0
0","9 998
9 526","0
0","0","9 526","AR"
"M. LARMANOU Marcel","20 573
19 863","20 573
19 863","0
0","0
0","0
0","0
0","20 573
19 863","0
0","0","19 863","AR"
"Mme OLIVIER Annick","0","0","0","0","0","0","0","0","0","0","A"
"M. PARENT Patrice","360","360","0","332","28","0","0","0","0","0","A"
"Mme PICARD Catherine","30 556
30 090","30 556
30 090","255
255","900
900","1 646
1 646","200
200","27 555
27 089","0
0","0","27 089","AR"
"M. TARTE Didier","0","0","0","0","0","0","0","0","0","0","A"
"M. TOUCHAGUES Bernard","7 100","7 100","0","0","0","0","7 100","0","0","7 100","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"159"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Département : Eure-et-Loir </i>
<i>Circoncription : Eure-et-Loir - 1</i>",,,"<i>er</i>",,,,,
"Plafond de dépenses : 65 673","€",,,,,,,,,,
"Remboursement maximum : 32 837",,"€",,,,,,,,"Scrutin contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"Mme AUBERT Marie-Jose","275","275","0","267","8","0","0","0","0","0","A"
"M. CHEVÉE Éric","32 321
31 997","32 321
31 997","0
0","0
0","540
540","0
0","31 781
31 457","0
0","0","31 457","AR"
"M. DAMERON Mathieu","15","65","0","15","0","0","50","50","0","0","A"
"M. ÉPINEAU Claude","6 180
547","7 000
1 367","0
0","0
0","0
0","0
0","7 000
1 367","820
820","0","0","AR"
"Mme GARREYN Kathy","0","0","0","0","0","0","0","0","0","0","A"
"M. GEOLLOT Lionel","889","889","115","0","0","0","774","0","0","0","A"
"M. GORGES Jean-Pierre","51 081
49 690
49 438","51 081
49 690","10 650
10 650","5 700
5 700","4 799
4 799","0
0","29 932
28 541
28 289","0
0","0","28 289","AR"
"Mme VALLET Francoise","50 214
48 341","50 317
48 444","6 768
6 768","1 233
1 233","870
870","0
0","41 446
39 573","103
103","0","32 837","AR"
"Mme RENAULT Gabrielle","23 501","24 295","0","0","0","0","24 295","794","0","23 501","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"160","JOURNAL OFFICIEL DE LA RÉPUBLIQUE FRANÇAISE",,,,,,,,,,"10 juin 2008"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Département : Eure-et-Loir </i>
<i>Circoncription : Eure-et-Loir - 2</i>",,,"<i>e</i>",,,,,
"Plafond de dépenses : 63 308","€",,,,,,,,,,
"Remboursement maximum : 31 654",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
"M. CHEVROLLIER Vincent","296","296","0","293","3","0","0","0","0","0","A"
"M. DAUTREME Jacques","29 274
29 218","30 017
29 961","0
0","0
0","17
17","0
0","30 000
29 944","743
743","0","29 201","AR"
"Mlle DUTHU Francoise","4 382
3 527","4 393
4 393","455
455","3 938
3 938","0
0","0
0","0
0","11
866","866","0","AR"
"M. GABORIAU Jean-Pierre","11 942","11 942","0","0","420","0","11 522","0","0","11 522","A"
"Mlle GALVIN Martine","15","65","0","15","0","0","50","50","0","0","A"
"Mme GENET Veronique","0","0","0","0","0","0","0","0","0","0","A"
"M. HAMEL Gerard","50 919
50 791","50 919
50 791","10 130
10 130","9 700
9 700","13 669
13 669","0
0","17 420
17 292","0
0","0","17 292","AR"
"Mlle HESSEL Birgitta","18 469","18 469","410","1 360","0","0","16 699","0","0","16 699","A"
"Mlle JAFFRENOU Beatrice","0","15","0","0","0","15","0","15","15","0","A"
"Mme QUÉRITE Gisele","889","889","100","0","0","0","789","0","0","0","A"
"Mme RIGOURD Jocelyne","0","0","0","0","0","0","0","0","0","0","A"
"Décision de la CNCCFP : A = approbation , AR = approbation après réformation ; AT = approbation tacite ; R = rejet ; HD = hors délai ;",,,,,,,,,,,
"AD = absence de dépôt.",,,,,,,,,,,
"(1) DEV = montant de la dévolution.",,,,,,,,,,,
"(2) RFE : montant du remboursement forfaitaire de l’État.",,,,,,,,,,,
"10 juin 2008",,"DOCUMENTS ADMINISTRATIFS",,,,,,,,,"161"
".","ÉLECTIONS LÉGISLATIVES GÉNÉRALES DES 10 JUIN 2007 ET 17 JUIN 2007",,"<i>Département : Eure-et-Loir </i>
<i>Circoncription : Eure-et-Loir - 3</i>",,,"<i>e</i>",,,,,
"Plafond de dépenses : 62 021","€",,,,,,,,,,
"Remboursement maximum : 31 011",,"€",,,,,,,,"Scrutin non contesté",
"CANDIDATS","DÉPENSES
totales","RECETTES
totales","Dons","RECETTES (PAR ORIGINE)
Apports
partis","Concours
en nature","Autres","Apport
personnel","Soldes
compte
de
campagne","DEV
(1)","RFE
(2)","Déc.
CNCCFP"
